point_id,gene,Z,X,Y,fov
33,Neurod6,1.1044214031146207,403.7006073267119,150.07827097316007,F5_B_rightFOV_75J04
34,UNC13A,1.056880440017663,425.5931603031392,135.33857969695313,F5_B_rightFOV_75J04
35,UNC13A,1.0376887832261614,429.58377703610677,139.58044394820263,F5_B_rightFOV_75J04
36,UNC13A,1.0870479096258368,437.5817002078502,177.7531927201926,F5_B_rightFOV_75J04
37,Irg1,1.0257529711681372,439.4728665010166,162.6037797893414,F5_B_rightFOV_75J04
38,ACTB,1.1283041812191565,440.52123711485973,143.17243493691007,F5_B_rightFOV_75J04
39,Gfap,1.0564344643362469,442.15178634400274,145.2506237700562,F5_B_rightFOV_75J04
40,Neurod6,1.1550775961965372,445.11566771716645,180.508334033842,F5_B_rightFOV_75J04
41,NOV,1.0336402301726297,450.9334973000585,181.10456222210425,F5_B_rightFOV_75J04
42,Irg1,0.9947526433893726,451.2099090524415,166.0047703931836,F5_B_rightFOV_75J04
43,UNC13A,1.0618270333198103,452.3989572963152,160.92979349125082,F5_B_rightFOV_75J04
44,Neurod6,1.1013382538603473,463.66776914219145,130.68354117753512,F5_B_rightFOV_75J04
45,Irg1,1.054256394702255,466.7522333434435,187.25443742669864,F5_B_rightFOV_75J04
46,PTGDS,1.1701073168425258,474.52876301196414,141.5192509486503,F5_B_rightFOV_75J04
47,SNAP25,1.1096827891798022,475.3740233828835,189.1869118142948,F5_B_rightFOV_75J04
48,Sox2,1.134992798762454,478.6877125194848,160.4476718833821,F5_B_rightFOV_75J04
49,Lgals3bp,1.1055859937700847,483.1569166841088,152.1627318598282,F5_B_rightFOV_75J04
50,UNC13A,1.028061664953751,497.3957410071944,165.9645056640832,F5_B_rightFOV_75J04
51,PVALB,1.1722814966613029,413.8337950786026,179.80347641849545,F5_B_rightFOV_75J04
52,Lgals3bp,1.1801196507811202,417.513920700044,165.3814014311556,F5_B_rightFOV_75J04
53,Ctsh,1.059607318185334,430.38661772588006,168.2612910173609,F5_B_rightFOV_75J04
54,PSEN2,1.1287815239415626,434.0753949798888,163.29391238771612,F5_B_rightFOV_75J04
55,Lgals3bp,1.15450217439912,434.14279895789633,144.37510891899896,F5_B_rightFOV_75J04
56,Csf1r,1.171876320939337,436.0726533072407,166.3677325826658,F5_B_rightFOV_75J04
57,HIF-1α,1.1456012913640001,438.4416491488737,164.16845631092656,F5_B_rightFOV_75J04
58,Ctsh,1.1740106746165258,452.6252048773058,185.16701353812056,F5_B_rightFOV_75J04
59,ACTB,1.167976315463417,458.55386595282664,186.3133365304697,F5_B_rightFOV_75J04
60,Lgals3bp,1.1561961331285489,468.22932737902846,161.0455427759355,F5_B_rightFOV_75J04
61,UNC13A,1.218102314757303,473.0653614448197,139.11312474380688,F5_B_rightFOV_75J04
62,ACTB,1.1866089280762628,484.4083627273354,138.37461701395569,F5_B_rightFOV_75J04
63,Lgals3bp,0.978887079546215,424.52523042611523,131.90840774132576,F5_B_rightFOV_75J04
64,Gfap,1.1881506245596456,434.38231390861085,127.07703000336501,F5_B_rightFOV_75J04
65,PSEN2,1.0401210761922994,444.98055113372175,152.94888100573658,F5_B_rightFOV_75J04
66,PTGDS,1.2512359367780572,454.6538564548761,147.97209256745478,F5_B_rightFOV_75J04
67,ACTB,1.365041914371817,457.7312316198346,141.34662975591633,F5_B_rightFOV_75J04
68,Mfap4,1.22184414088216,458.48428602287714,154.61451713349237,F5_B_rightFOV_75J04
69,Neurod6,1.2090383892250398,476.7917105058823,145.73395426372423,F5_B_rightFOV_75J04
70,Ctsd,1.099052305209471,480.6175127256235,173.602680732863,F5_B_rightFOV_75J04
71,Vsir,1.3336531949104802,481.8097056618604,155.5629093965637,F5_B_rightFOV_75J04
72,Syp,1.230539865085943,494.87281778248064,181.5216052498233,F5_B_rightFOV_75J04
73,Neurod6,1.2948230807260457,495.2629487806845,144.36454244229898,F5_B_rightFOV_75J04
74,UNC13A,1.0493706289618812,498.8095593672097,159.85519325539423,F5_B_rightFOV_75J04
75,Lgals3bp,1.2138857956251086,420.08211279061885,159.63778392904365,F5_B_rightFOV_75J04
76,ACTB,1.2975255828726286,420.32675730265703,130.87730166613656,F5_B_rightFOV_75J04
77,Laptm5,1.2359795991963316,433.1987319904521,175.52343521034786,F5_B_rightFOV_75J04
78,UNC13A,1.1363016020397634,437.78316959219467,177.74502682979022,F5_B_rightFOV_75J04
79,HIF-1α,1.2486823273313143,490.7390454479228,134.89210751204635,F5_B_rightFOV_75J04
80,ACTB,1.3260325145704572,498.8272483458101,160.84808241326456,F5_B_rightFOV_75J04
81,Lgals3bp,1.3271993799985944,419.98093591121795,159.87412735108475,F5_B_rightFOV_75J04
82,Grin3a,1.391022181213943,422.240415167982,153.47261842456606,F5_B_rightFOV_75J04
83,PSEN2,1.3837602584574287,444.981238033347,152.95521607619543,F5_B_rightFOV_75J04
84,HIF-1α,1.4248581232571773,447.75212881813576,135.04966199901523,F5_B_rightFOV_75J04
85,UNC13A,1.3381746633452458,452.6693804830499,160.8669411014194,F5_B_rightFOV_75J04
86,ACTB,1.3407461236951086,458.68911722793064,153.97236199505474,F5_B_rightFOV_75J04
87,P2ry1,1.3247129593654972,464.93730221995975,139.69815351133755,F5_B_rightFOV_75J04
88,Irg1,1.3159249181386288,467.0168681850823,187.15143427427924,F5_B_rightFOV_75J04
89,Vsir,1.1731004550141029,467.5601671266198,152.03082685236015,F5_B_rightFOV_75J04
90,Creb1,1.3083669424090971,471.5603234849105,160.21091242469836,F5_B_rightFOV_75J04
91,PTGDS,1.379524805927703,472.988405980235,174.41335380318975,F5_B_rightFOV_75J04
92,Laptm5,1.2949768617012456,477.99533856460084,155.94137803533118,F5_B_rightFOV_75J04
93,Irg1,1.3008134371015314,491.1269883407346,128.72354182274103,F5_B_rightFOV_75J04
94,UNC13A,1.3255465654532117,494.01344307384574,141.684894097186,F5_B_rightFOV_75J04
95,Gfap,1.2080725578838742,494.81034256397965,142.5933387685748,F5_B_rightFOV_75J04
96,ACTB,1.256957078384583,498.65637664198783,160.6686746132891,F5_B_rightFOV_75J04
97,HIF-1α,1.2700712939725716,407.35754543796736,157.26706587123994,F5_B_rightFOV_75J04
98,PVALB,1.3561049151564915,410.83295638824137,168.98234936483135,F5_B_rightFOV_75J04
99,UNC13A,1.3082138450303429,415.7779161441414,182.44004846049953,F5_B_rightFOV_75J04
100,Vsir,1.3504054605482858,431.50382177171053,176.85916537588648,F5_B_rightFOV_75J04
101,Irg1,1.3190111328252914,435.6990954080092,160.43382807559323,F5_B_rightFOV_75J04
102,Mfap4,1.347145736880583,462.53702290499103,183.54705825630143,F5_B_rightFOV_75J04
103,Ctsd,1.3643242477798974,464.2421024854784,170.39351628975913,F5_B_rightFOV_75J04
104,NOV,1.193574483878103,465.68606922612645,183.54956126916153,F5_B_rightFOV_75J04
105,ACTB,1.205464743659806,470.64203555143655,170.42287593758243,F5_B_rightFOV_75J04
106,Gfap,1.2635276160193487,481.9065650190963,130.38847732765407,F5_B_rightFOV_75J04
107,SNAP25,1.229622672181783,482.86135329552206,181.27010676551228,F5_B_rightFOV_75J04
108,Olfml3,1.2733660256311772,487.12899622347595,172.83731196401382,F5_B_rightFOV_75J04
109,Irg1,1.3018263175339773,487.32827922329,182.95330890844838,F5_B_rightFOV_75J04
110,Vsir,1.0877191860289508,493.3072414497684,151.5488260053027,F5_B_rightFOV_75J04
